Line;Roll_Arduino;Pitch_Arduino;Yaw_Arduino;Roll_CSV;Pitch_CSV;Yaw_CSV;RMSE_Roll;RMSE_Pitch;RMSE_Yaw
0;4.15;-3.73;-0.01;0.0;0.0;0.0;4.15;3.73;0.009999999999990905
1;0.17;3.47;1.21;0.43;2.17;2.91;0.26;1.3000000000000003;1.6999999999999886
2;3.83;-2.68;-1.31;3.64;-2.14;2.98;0.18999999999999995;0.54;4.289999999999992
3;-0.42;-0.2;1.54;-0.12;0.12;2.07;0.3;0.32;0.5300000000000011
4;2.91;-1.42;1.17;2.6;-1.06;3.7;0.31000000000000005;0.3599999999999999;2.530000000000001
5;4.17;-0.72;0.41;4.01;-0.92;4.74;0.16000000000000014;0.20000000000000007;4.3300000000000125
6;-1.13;-3.81;0.78;-0.52;-2.13;1.9;0.6099999999999999;1.6800000000000002;1.1200000000000045
7;-0.14;-3.28;0.61;-0.1;-2.24;0.88;0.04000000000000001;1.0399999999999996;0.27000000000001023
8;1.72;-1.21;2.96;1.44;-1.05;3.57;0.28;0.15999999999999992;0.6100000000000136
9;-0.19;-0.45;-0.34;0.09;-0.32;0.95;0.28;0.13;1.289999999999992
10;5.99;0.44;-0.62;5.4;0.3;4.58;0.5899999999999999;0.14;5.199999999999989
11;1.85;-1.44;0.29;2.16;-0.48;3.7;0.31000000000000005;0.96;3.4099999999999966
12;2.46;-1.75;-0.21;2.49;-0.61;3.3;0.03000000000000025;1.1400000000000001;3.509999999999991
13;3.15;-0.6;2.86;2.97;0.18;5.69;0.17999999999999972;0.78;2.8300000000000125
14;-3.16;-2.0;0.67;-2.25;-2.13;0.0;0.9100000000000001;0.1299999999999999;0.6699999999999875
15;1.91;-5.71;-0.42;1.5;-3.86;0.66;0.4099999999999999;1.85;1.0800000000000125
16;1.92;-0.31;-1.24;1.86;0.23;1.05;0.05999999999999983;0.54;2.289999999999992
17;2.64;-0.5;0.04;2.49;-0.31;2.53;0.1499999999999999;0.19;2.490000000000009
18;2.79;-0.35;1.7;2.66;-0.3;4.28;0.1299999999999999;0.04999999999999999;2.5800000000000125
19;0.32;0.68;0.29;0.63;-0.16;1.82;0.31;0.8400000000000001;1.5300000000000011
20;5.47;1.06;7.57;4.64;0.29;10.05;0.8300000000000001;0.77;2.4799999999999898
21;0.27;1.29;4.8;0.69;0.41;6.65;0.41999999999999993;0.8800000000000001;1.8499999999999943
22;1.93;-0.46;4.78;1.85;-0.36;6.97;0.07999999999999985;0.10000000000000003;2.1899999999999977
23;1.13;-0.36;5.98;1.17;-0.14;7.35;0.040000000000000036;0.21999999999999997;1.3700000000000045
24;0.35;-0.46;7.15;0.39;-0.41;7.61;0.040000000000000036;0.050000000000000044;0.46000000000000796
25;2.77;-1.68;6.23;2.54;-1.57;8.91;0.22999999999999998;0.10999999999999988;2.680000000000007
26;0.3;-0.52;3.42;0.64;-1.03;5.47;0.34;0.51;2.0500000000000114
27;4.88;-0.64;5.12;4.42;-0.32;9.06;0.45999999999999996;0.32;3.9399999999999977
28;1.91;-0.73;7.55;2.05;-0.24;9.91;0.1399999999999999;0.49;2.3600000000000136
29;2.11;-2.39;6.07;2.23;-1.78;9.28;0.1200000000000001;0.6100000000000001;3.210000000000008
30;-2.43;2.59;2.95;-1.94;1.48;3.09;0.4900000000000002;1.1099999999999999;0.13999999999998636
31;0.21;-0.72;7.28;-0.17;-0.62;6.1;0.38;0.09999999999999998;1.1800000000000068
32;1.76;-2.76;4.62;1.65;-2.09;6.55;0.1100000000000001;0.6699999999999999;1.9300000000000068
33;-0.35;2.23;7.89;-0.28;1.45;7.23;0.06999999999999995;0.78;0.6599999999999966
34;0.63;0.88;5.06;0.66;0.89;6.27;0.030000000000000027;0.010000000000000009;1.210000000000008
35;0.8;-3.37;2.36;1.04;-1.68;4.61;0.24;1.6900000000000002;2.25
36;4.36;-0.61;6.15;3.89;-0.64;9.06;0.4700000000000002;0.030000000000000027;2.9099999999999966
37;3.34;0.24;6.69;3.34;0.51;10.37;0.0;0.27;3.680000000000007
38;4.4;-2.1;6.03;4.32;-1.64;11.16;0.08000000000000007;0.4600000000000002;5.1299999999999955
39;1.31;-4.03;4.65;1.83;-3.64;8.2;0.52;0.3900000000000001;3.5500000000000114
40;3.31;-2.97;5.53;3.25;-2.0;9.29;0.06000000000000005;0.9700000000000002;3.759999999999991
41;-1.36;-2.09;9.19;-1.03;-2.18;8.61;0.33000000000000007;0.0900000000000003;0.5800000000000125
42;1.5;-4.28;8.43;1.33;-3.34;9.84;0.16999999999999993;0.9400000000000004;1.4099999999999966
43;5.24;5.65;4.05;4.85;3.78;9.64;0.39000000000000057;1.8700000000000006;5.590000000000003
44;1.38;2.15;7.02;1.58;1.47;8.81;0.20000000000000018;0.6799999999999999;1.789999999999992
45;0.51;-0.63;5.51;0.78;0.26;7.29;0.27;0.89;1.7800000000000011
46;2.59;-1.12;7.47;2.35;-0.62;9.55;0.23999999999999977;0.5000000000000001;2.0800000000000125
47;2.44;0.9;5.25;2.48;0.76;8.68;0.040000000000000036;0.14;3.430000000000007
48;1.05;-3.81;9.12;1.08;-2.65;10.25;0.030000000000000027;1.1600000000000001;1.1299999999999955
49;4.23;-3.81;5.58;4.14;-2.69;10.73;0.09000000000000075;1.12;5.150000000000006
50;1.11;-0.43;5.1;1.42;-0.91;7.97;0.30999999999999983;0.48000000000000004;2.8700000000000045
51;-0.5;0.37;5.28;-0.28;-0.36;5.77;0.21999999999999997;0.73;0.4900000000000091
52;3.91;0.13;8.41;3.35;0.1;10.56;0.56;0.03;2.1500000000000057
