Estimation;EKF;;;;;
Acquisition;Simulation;;;;;
Representation;Euler Angles;;;;;
Time interval(s);12.0;Samp. Frequency(Hz);200;;;
Simulation Time(ms);552.819;Estimation time(ms);1257.446;Total Time(s);12.019;
Rotation Speed RPY(deg/s);0;0;30;Rotation Start/Stop(s);;
Initial RPY(deg);0;0;0;;;
Accelerometer Noise Power;0.038214;Accelerometer Noise Offset;0.0195;;;
Gyrometer Noise Power;0.01749;Gyrometer Noise Offset;0.0322;;;
Magnetometer Noise Power;1.204;;;;;
RMSE Roll(deg);1.96;RMSE Pitch(deg);2.07;RMSE Yaw(deg);2.82;Average RMSE(deg)
RMSE Roll(%);1.09;RMSE Pitch(%);1.15;RMSE Yaw(%);1.57;Average RMSE(%)
t(s);;;;r_est(d);p_est(d);y_est(d)
0.000;;;;0.00;0.00;0.00
0.005;;;;0.43;2.17;2.91
0.010;;;;3.64;-2.14;2.98
0.015;;;;-0.12;0.12;2.07
0.020;;;;2.60;-1.06;3.70
0.025;;;;4.01;-0.92;4.74
0.030;;;;-0.52;-2.13;1.90
0.035;;;;-0.10;-2.24;0.88
0.040;;;;1.44;-1.05;3.57
0.045;;;;0.09;-0.32;0.95
0.050;;;;5.40;0.30;4.58
0.055;;;;2.16;-0.48;3.70
0.060;;;;2.49;-0.61;3.30
0.065;;;;2.97;0.18;5.69
0.070;;;;-2.25;-2.13;0.00
0.075;;;;1.50;-3.86;0.66
0.080;;;;1.86;0.23;1.05
0.085;;;;2.49;-0.31;2.53
0.090;;;;2.66;-0.30;4.28
0.095;;;;0.63;-0.16;1.82
0.100;;;;4.64;0.29;10.05
0.105;;;;0.69;0.41;6.65
0.110;;;;1.85;-0.36;6.97
0.115;;;;1.17;-0.14;7.35
0.120;;;;0.39;-0.41;7.61
0.125;;;;2.54;-1.57;8.91
0.130;;;;0.64;-1.03;5.47
0.135;;;;4.42;-0.32;9.06
0.140;;;;2.05;-0.24;9.91
0.145;;;;2.23;-1.78;9.28
0.150;;;;-1.94;1.48;3.09
0.155;;;;-0.17;-0.62;6.10
0.160;;;;1.65;-2.09;6.55
0.165;;;;-0.28;1.45;7.23
0.170;;;;0.66;0.89;6.27
0.175;;;;1.04;-1.68;4.61
0.180;;;;3.89;-0.64;9.06
0.185;;;;3.34;0.51;10.37
0.190;;;;4.32;-1.64;11.16
0.195;;;;1.83;-3.64;8.20
0.200;;;;3.25;-2.00;9.29
0.205;;;;-1.03;-2.18;8.61
0.210;;;;1.33;-3.34;9.84
0.215;;;;4.85;3.78;9.64
0.220;;;;1.58;1.47;8.81
0.225;;;;0.78;0.26;7.29
0.230;;;;2.35;-0.62;9.55
0.235;;;;2.48;0.76;8.68
0.240;;;;1.08;-2.65;10.25
0.245;;;;4.14;-2.69;10.73
0.250;;;;1.42;-0.91;7.97
0.255;;;;-0.28;-0.36;5.77
0.260;;;;3.35;0.10;10.56
0.265;;;;0.71;0.20;9.86
0.270;;;;-0.17;-0.22;7.59
0.275;;;;-2.41;1.07;3.46
0.280;;;;1.47;-0.60;12.89
0.285;;;;5.79;0.05;15.45
0.290;;;;0.69;0.06;10.51
0.295;;;;1.14;0.09;9.01
0.300;;;;0.86;-0.08;9.87
0.305;;;;-0.98;-0.15;11.17
0.310;;;;2.02;0.67;12.89
0.315;;;;1.13;0.69;17.35
0.320;;;;2.00;-0.68;11.99
0.325;;;;0.23;-0.97;8.69
0.330;;;;3.43;-0.90;13.62
0.335;;;;1.49;-0.22;14.29
0.340;;;;0.85;-0.82;11.58
0.345;;;;0.67;-2.86;11.57
0.350;;;;-0.35;-0.01;11.61
0.355;;;;0.52;4.43;10.71
0.360;;;;-0.16;-0.56;12.38
0.365;;;;4.21;-2.33;14.14
0.370;;;;-1.64;-0.86;9.79
0.375;;;;-0.19;1.03;10.90
0.380;;;;2.20;-1.11;12.32
0.385;;;;1.54;-0.66;14.91
0.390;;;;-1.24;0.40;13.19
0.395;;;;2.22;-1.41;12.29
0.400;;;;0.79;-3.07;14.04
0.405;;;;1.16;-1.99;13.86
0.410;;;;3.15;-1.93;15.38
0.415;;;;1.11;-1.23;14.10
0.420;;;;0.10;0.14;12.77
0.425;;;;1.25;-0.89;10.65
0.430;;;;3.81;-1.83;16.00
0.435;;;;3.41;1.20;15.25
0.440;;;;3.06;0.26;17.04
0.445;;;;1.31;-1.46;14.64
0.450;;;;4.18;-1.34;14.49
0.455;;;;4.75;-2.53;16.03
0.460;;;;3.68;-1.79;19.16
0.465;;;;-0.03;-0.21;16.98
0.470;;;;-0.38;-1.36;14.07
0.475;;;;0.75;1.00;15.62
0.480;;;;0.83;0.04;16.83
0.485;;;;2.27;-1.46;16.26
0.490;;;;2.62;-0.93;17.70
0.495;;;;2.95;-2.01;19.98
0.500;;;;-0.31;-1.82;16.11
0.505;;;;-1.96;1.20;14.08
0.510;;;;2.20;0.07;16.19
0.515;;;;0.88;0.07;16.11
0.520;;;;-0.99;-1.26;17.98
0.525;;;;1.70;-0.15;17.34
0.530;;;;0.75;2.61;14.96
0.535;;;;-0.63;0.57;15.93
0.540;;;;1.65;-1.83;17.50
0.545;;;;2.52;-1.26;19.49
0.550;;;;1.56;-1.47;19.57
0.555;;;;-1.39;-1.96;16.88
0.560;;;;1.50;-1.86;17.69
0.565;;;;1.98;1.00;17.21
0.570;;;;1.55;-0.31;18.84
0.575;;;;4.14;-3.05;24.78
0.580;;;;0.54;0.33;21.33
0.585;;;;-0.06;-0.85;18.57
0.590;;;;-1.63;-2.34;17.84
0.595;;;;3.46;-2.33;22.43
0.600;;;;4.29;0.77;17.69
0.605;;;;2.45;-1.61;22.33
0.610;;;;3.43;-0.31;23.46
0.615;;;;2.00;1.18;21.58
0.620;;;;-0.52;-2.47;15.96
0.625;;;;1.11;-1.12;19.36
0.630;;;;1.26;1.63;21.82
0.635;;;;0.24;1.71;21.91
0.640;;;;0.71;-0.76;20.02
0.645;;;;5.96;-1.09;26.41
0.650;;;;3.08;-0.19;23.58
0.655;;;;2.42;-0.53;24.38
0.660;;;;-0.34;-0.59;20.63
0.665;;;;0.35;-0.46;20.07
0.670;;;;-0.05;0.37;20.53
0.675;;;;0.96;-1.50;19.69
0.680;;;;-0.49;-2.47;17.40
0.685;;;;-1.60;1.21;18.34
0.690;;;;0.61;-1.65;19.31
0.695;;;;-2.36;-0.63;18.96
0.700;;;;-0.36;1.50;19.70
0.705;;;;0.34;-1.23;19.84
0.710;;;;4.39;-2.89;22.25
0.715;;;;1.66;-3.78;22.36
0.720;;;;0.55;-2.09;22.98
0.725;;;;0.81;-1.76;24.24
0.730;;;;0.16;2.14;28.63
0.735;;;;-0.00;-1.76;22.43
0.740;;;;0.96;-0.17;22.96
0.745;;;;2.44;-0.65;24.16
0.750;;;;1.22;-1.44;28.94
0.755;;;;0.17;-1.89;24.61
0.760;;;;2.65;-0.50;24.63
0.765;;;;-0.12;-1.86;22.87
0.770;;;;2.82;-3.34;24.28
0.775;;;;1.46;-0.14;22.32
0.780;;;;1.29;-1.66;25.80
0.785;;;;1.33;-3.25;29.80
0.790;;;;1.39;0.03;25.18
0.795;;;;-2.37;0.16;22.69
0.800;;;;0.57;-3.80;25.40
0.805;;;;-0.10;1.10;24.30
0.810;;;;-0.64;0.64;21.96
0.815;;;;1.08;-1.59;25.37
0.820;;;;1.19;-1.43;24.41
